underlying_symbol,underlying_price,flags,option_symbol,type,expiration,data_date,strike,last,bid,ask,mid,volume,open_interest,t1_open_interest,iv_mean,iv_bid,iv_ask,delta,gamma,theta,vega,aka,my_implied_vol,my_delta,my_vega,my_theta,variation,dly_opt_pnl,ttd_opt_pnl,dly_dh_pnl,ttd_dh_pnl,dly_opt_mid_pnl,ttd_opt_mid_pnl,dly_tot_pnl,dly_tot_mid_pnl,ttd_tot_pnl,ttd_tot_mid_pnl
SPY,225.0500030517578,*,SPY161223C00229000,call,2016-12-23,2016-12-16,229,0.12999999523162842,0.11999999731779099,0.12999999523162842,0.1249999962747097,16218,26580,24000,0.09830000251531601,0.09719999879598618,0.09929999709129333,0.09269999712705612,0.05700000002980232,-14.143899917602539,4.9217000007629395,"SPY161223C00229000",0.08953192133578709,0.09451093963615237,0.05341628981060022,-0.047824630573722646,0.1,-0.009999997913837433,-0.009999997913837433,0,0,0,0,-0.009999997913837433,0,-0.009999997913837433,0
SPY,225.5,*,SPY161223C00229000,call,2016-12-23,2016-12-19,229,0.07000000029802322,0.05999999865889549,0.07000000029802322,0.06499999947845936,2987,24000,24524,0.10580000281333923,0.10400000214576721,0.10760000348091125,0.06560000032186508,0.0560000017285347,-16.08300018310547,2.751699924468994,"SPY161223C00229000",0.08089641527639296,0.06507986360011153,0.0360542393270426,-0.03645823396343622,0.1,0.059999994933605194,0.04999999701976776,0.04252963441177016,0.04252963441177016,0.05999999679625034,0.05999999679625034,0.10252962934537535,0.1025296312080205,0.09252963143153792,0.1025296312080205
SPY,226.3800048828125,*,SPY161223C00229000,call,2016-12-23,2016-12-20,229,0.09000000357627869,0.07999999821186066,0.09000000357627869,0.08500000089406967,2836,24524,23705,0.09489999711513519,0.10639999806880951,0.10970000177621841,0.06620000302791595,0.07490000128746033,-17.42889976501465,2.328399896621704,"SPY161223C00229000",0.08052960184449934,0.09211303500770551,0.04079888027689965,-0.05475862640666878,0.1,-0.020000003278255463,0.0299999937415123,0.057270597740869636,0.0998002321526398,-0.020000001415610313,0.03999999538064003,0.03727059446261417,0.03727059632525932,0.1298002258941521,0.13980022753327984
SPY,225.79029846191406,*,SPY161223C00229000,call,2016-12-23,2016-12-21,229,0.03999999910593033,0.029999999329447746,0.03999999910593033,0.03499999921768904,2613,23705,23084,0.0917000025510788,0.1340000033378601,0.14139999449253082,0.00559999980032444,0.01269999984651804,-2.743299961090088,0.2176000028848648,"SPY161223C00229000",0.0950409522996765,0.044745563847173875,0.018973875776247772,-0.0450823805647588,0.1,0.05000000447034836,0.07999999821186066,-0.0543196481924865,0.0454805839601533,0.050000001676380634,0.08999999705702066,-0.004319643722138139,-0.004319646516105863,0.12548058217201397,0.13548058101717397
SPY,225.44000244140625,*,SPY161223C00229000,call,2016-12-23,2016-12-22,229,0.009999999776482582,0,0.009999999776482582,0.004999999888241291,5329,23084,27008,0.179299995303154,0,0.24369999766349792,0.0019000000320374966,0.005100000184029341,-4.134900093078613,0.042100001126527786,"SPY161223C00229000",0.10538260333807495,0.009882045441907239,0.003746622518843745,-0.019741441738040478,0.1,0.029999999329447746,0.1099999975413084,-0.015674192951043255,0.029806391009110048,0.029999999329447746,0.11999999638646841,0.014325806378404492,0.014325806378404492,0.13980638855041844,0.14980638739557844
SPY,225.6999969482422,*,SPY161223C00229000,call,2016-12-23,2016-12-23,229,0.009999999776482582,0,0,0,197,27008,0,0.30000001192092896,0,0,0,0,0,0,"SPY161223C00229000",0,0,0,0,0.1,0.009999999776482582,0.11999999731779099,0.0025692775311989967,0.032375668540309044,0.004999999888241291,0.1249999962747097,0.012569277307681578,0.007569277419440287,0.15237566585810003,0.15737566481501875
SPY,225.6999969482422,*,SPY161230C00229000,call,2016-12-30,2016-12-23,229,0.10999999940395355,0.10999999940395355,0.11999999731779099,0.11499999836087227,5546,9049,11421,0.08399999886751175,0.08299999684095383,0.08489999920129776,0.09839999675750732,0.06939999759197235,-12.69320011138916,5.154799938201904,"SPY161230C00229000",0.08492426305443075,0.10076642713430328,0.050222474632419356,-0.053313833086600704,0.1,-0.009999997913837433,-0.009999997913837433,0,0,0,0,-0.009999997913837433,0,-0.009999997913837433,0
SPY,226.25,*,SPY161230C00229000,call,2016-12-30,2016-12-27,229,0.07999999821186066,0.07999999821186066,0.09000000357627869,0.08500000089406967,17957,11421,23077,0.09830000251531601,0.1103999987244606,0.11379999667406082,0.06360000371932983,0.07010000199079514,-17.477500915527344,2.255000114440918,"SPY161230C00229000",0.08540109580401437,0.08778268107534315,0.03932696591401902,-0.055976099728405775,0.1,0.0299999937415123,0.019999995827674866,0.05542184243859805,0.05542184243859805,0.029999997466802597,0.029999997466802597,0.08542183618011034,0.08542183990540064,0.07542183826627291,0.08542183990540064
SPY,224.42999267578125,*,SPY161230C00229000,call,2016-12-30,2016-12-28,229,0.019999999552965164,0.009999999776482582,0.019999999552965164,0.014999999664723873,8306,23077,28050,0.15960000455379486,0.1517000049352646,0.16740000247955322,0.018699999898672104,0.0210999995470047,-13.595800399780273,0.6205000281333923,"SPY161230C00229000",0.10660776845639608,0.019296515319874363,0.00939515373679803,-0.02503990935462022,0.1,0.07000000402331352,0.08999999985098839,-0.15976512249668318,-0.10434328005808513,0.0700000012293458,0.0999999986961484,-0.08976511847336965,-0.08976512126733738,-0.014343280207096742,-0.004343281361936735
SPY,224.3300018310547,*,SPY161230C00229000,call,2016-12-30,2016-12-29,229,0.009999999776482582,0,0.009999999776482582,0.004999999888241291,527,28050,28161,0.2606000006198883,0,0.3086000084877014,0.0044999998062849045,0.007499999832361937,-12.770600318908691,0.08940000087022781,"SPY161230C00229000",0.21919950526069684,0.005187575445883497,0.0020802786020555513,-0.022799802018749545,0.1,0.009999999776482582,0.09999999962747097,-0.001929474867113292,-0.10627275492519841,0.009999999776482582,0.10999999847263098,0.00807052490936929,0.00807052490936929,-0.006272755297727445,0.0037272435474325627
