underlying,expiration,trade_date,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate
SPY,2016-12-23,2016-12-16,225.22000001072882,0.09459001382256142,0.09626435563776689,0.09543085685800694
SPY,2016-12-23,2016-12-19,225.48300000429154,0.09459001382256142,0.09626435563776689,0.09543085685800694
SPY,2016-12-23,2016-12-20,226.3349999934435,0.09459001382256142,0.09626435563776689,0.09543085685800694
SPY,2016-12-23,2016-12-21,225.72300000041724,0.09459001382256142,0.09626435563776689,0.09543085685800694
SPY,2016-12-23,2016-12-22,225.47900000177324,0.09459001382256142,0.09626435563776689,0.09543085685800694
SPY,2016-12-23,2016-12-23,225.6999969482422,0,0,0
SPY,2016-12-30,2016-12-23,225.87899999916553,0.08811839763981387,0.09047987887050277,0.08930694397142143
SPY,2016-12-30,2016-12-27,226.1179999947548,0.08811839763981387,0.09047987887050277,0.08930694397142143
SPY,2016-12-30,2016-12-28,224.53499998748302,0.08811839763981387,0.09047987887050277,0.08930694397142143
SPY,2016-12-30,2016-12-29,221.01599999237806,0.08811839763981387,0.09047987887050277,0.08930694397142143
SPY,2016-12-30,2016-12-30,223.52000427246094,0,0,0
SPY,2017-01-06,2016-12-30,223.42800001502036,0.12078077222817069,0.12371638068921255,0.12225738789715615
SPY,2017-01-06,2017-01-03,225.29000000357627,0.12078077222817069,0.12371638068921255,0.12225738789715615
SPY,2017-01-06,2017-01-04,226.46600000411271,0.12078077222817069,0.12371638068921255,0.12225738789715615
SPY,2017-01-06,2017-01-05,226.39499998502433,0.12078077222817069,0.12371638068921255,0.12225738789715615
SPY,2017-01-06,2017-01-06,227.25,0,0,0
SPY,2017-01-13,2017-01-06,227.3589999973774,0.08133040276017194,0.08317410446480782,0.08225741932085684
SPY,2017-01-13,2017-01-09,226.61700000464916,0.08133040276017194,0.08317410446480782,0.08225741932085684
SPY,2017-01-13,2017-01-10,226.49199999570845,0.08133040276017194,0.08317410446480782,0.08225741932085684
SPY,2017-01-13,2017-01-11,227.1770000115037,0.08133040276017194,0.08317410446480782,0.08225741932085684
SPY,2017-01-13,2017-01-12,226.5419999971986,0.08133040276017194,0.08317410446480782,0.08225741932085684
SPY,2017-01-13,2017-01-13,227.0399932861328,0,0,0
SPY,2017-01-20,2017-01-13,227.09799998700618,0.08167514747198612,0.08338628458388776,0.08253515060650159
SPY,2017-01-20,2017-01-17,226.3420000076294,0.08167514747198612,0.08338628458388776,0.08253515060650159
SPY,2017-01-20,2017-01-18,226.75499998778105,0.08167514747198612,0.08338628458388776,0.08253515060650159
SPY,2017-01-20,2017-01-19,226.07500001192093,0.08167514747198612,0.08338628458388776,0.08253515060650159
SPY,2017-01-20,2017-01-20,226.74000549316406,0,0,0
SPY,2017-01-27,2017-01-20,226.66200000047684,0.07917701295334112,0.08078929691563655,0.07998721734232422
SPY,2017-01-27,2017-01-23,226.2580000013113,0.07917701295334112,0.08078929691563655,0.07998721734232422
SPY,2017-01-27,2017-01-24,227.58499999046325,0.07917701295334112,0.08078929691563655,0.07998721734232422
SPY,2017-01-27,2017-01-25,229.43899999111892,0.07917701295334112,0.08078929691563655,0.07998721734232422
SPY,2017-01-27,2017-01-26,229.37399999946356,0.07917701295334112,0.08078929691563655,0.07998721734232422
SPY,2017-01-27,2017-01-27,228.99000549316406,0,0,0
SPY,2017-02-03,2017-01-27,229.06800000667573,0.07877451525897554,0.08041732899552424,0.07960016035492942
SPY,2017-02-03,2017-01-30,227.64799998402594,0.07877451525897554,0.08041732899552424,0.07960016035492942
SPY,2017-02-03,2017-01-31,227.66100000441074,0.07877451525897554,0.08041732899552424,0.07960016035492942
SPY,2017-02-03,2017-02-01,227.67900000214576,0.07877451525897554,0.08041732899552424,0.07960016035492942
SPY,2017-02-03,2017-02-02,227.76900001652538,0.07877451525897554,0.08041732899552424,0.07960016035492942
SPY,2017-02-03,2017-02-03,229.35000610351562,0,0,0
SPY,2017-02-10,2017-02-03,229.41400001645087,0.07248962175421902,0.07413258105187301,0.07331570375943433
SPY,2017-02-10,2017-02-06,228.9839999973774,0.07248962175421902,0.07413258105187301,0.07331570375943433
SPY,2017-02-10,2017-02-07,229.02299999147652,0.07248962175421902,0.07413258105187301,0.07331570375943433
SPY,2017-02-10,2017-02-08,229.28899999633433,0.07248962175421902,0.07413258105187301,0.07331570375943433
SPY,2017-02-10,2017-02-09,230.5260000117123,0.07248962175421902,0.07413258105187301,0.07331570375943433
SPY,2017-02-10,2017-02-10,231.49000549316406,0,0,0
SPY,2017-02-17,2017-02-10,231.50299999713897,0.07803888042523731,0.07947894578415414,0.0787622043907641
SPY,2017-02-17,2017-02-13,232.8250000089407,0.07803888042523731,0.07947894578415414,0.0787622043907641
SPY,2017-02-17,2017-02-14,233.76699999421834,0.07803888042523731,0.07947894578415414,0.0787622043907641
SPY,2017-02-17,2017-02-15,235.06299999654294,0.07803888042523731,0.07947894578415414,0.0787622043907641
SPY,2017-02-17,2017-02-16,234.80600001104176,0.07803888042523731,0.07947894578415414,0.0787622043907641
SPY,2017-02-17,2017-02-17,235.0399932861328,0,0,0
SPY,2017-02-24,2017-02-17,235.03199999034405,0.07792145387427371,0.07973962312553472,0.07883578017018311
SPY,2017-02-24,2017-02-21,236.46600001454354,0.07792145387427371,0.07973962312553472,0.07883578017018311
SPY,2017-02-24,2017-02-22,236.24700001180173,0.07792145387427371,0.07973962312553472,0.07883578017018311
SPY,2017-02-24,2017-02-23,236.45599999763073,0.07792145387427371,0.07973962312553472,0.07883578017018311
SPY,2017-02-24,2017-02-24,236.77000427246094,0,0,0
SPY,2017-03-03,2017-02-24,236.73600001335143,0.08074213539022335,0.08207315815023648,0.0814103670183561
SPY,2017-03-03,2017-02-27,237.1320000052452,0.08074213539022335,0.08207315815023648,0.0814103670183561
SPY,2017-03-03,2017-02-28,236.52899999022483,0.08074213539022335,0.08207315815023648,0.0814103670183561
SPY,2017-03-03,2017-03-01,239.72000000476837,0.08074213539022335,0.08207315815023648,0.0814103670183561
SPY,2017-03-03,2017-03-02,238.3699999935925,0.08074213539022335,0.08207315815023648,0.0814103670183561
SPY,2017-03-03,2017-03-03,238.42999267578125,0,0,0
SPY,2017-03-10,2017-03-03,238.44500001072885,0.0692495838829395,0.07058108074300258,0.06991850193908092
SPY,2017-03-10,2017-03-06,237.74200000166894,0.0692495838829395,0.07058108074300258,0.06991850193908092
SPY,2017-03-10,2017-03-07,237.06999999284744,0.0692495838829395,0.07058108074300258,0.06991850193908092
SPY,2017-03-10,2017-03-08,236.625,0.0692495838829395,0.07058108074300258,0.06991850193908092
SPY,2017-03-10,2017-03-09,236.78399999961258,0.0692495838829395,0.07058108074300258,0.06991850193908092
SPY,2017-03-10,2017-03-10,237.66000366210938,0,0,0
SPY,2017-03-17,2017-03-10,236.92699999809264,0.10569910015417529,0.10727023954812137,0.10648756750464751
SPY,2017-03-17,2017-03-13,237.21800000071525,0.10569910015417529,0.10727023954812137,0.10648756750464751
SPY,2017-03-17,2017-03-14,236.52400000095366,0.10569910015417529,0.10727023954812137,0.10648756750464751
SPY,2017-03-17,2017-03-15,238.20100000202655,0.10569910015417529,0.10727023954812137,0.10648756750464751
SPY,2017-03-17,2017-03-16,237.93700000084937,0.10569910015417529,0.10727023954812137,0.10648756750464751
SPY,2017-03-17,2017-03-17,237.10079956054688,0,0,0
SPY,2017-03-24,2017-03-17,237.38199999928474,0.0769488235713235,0.07858083277348175,0.07776910931849669
SPY,2017-03-24,2017-03-20,236.79100001454353,0.0769488235713235,0.07858083277348175,0.07776910931849669
SPY,2017-03-24,2017-03-21,233.916999989748,0.0769488235713235,0.07858083277348175,0.07776910931849669
SPY,2017-03-24,2017-03-22,234.14100000858306,0.0769488235713235,0.07858083277348175,0.07776910931849669
SPY,2017-03-24,2017-03-23,233.83300001621245,0.0769488235713235,0.07858083277348175,0.07776910931849669
SPY,2017-03-24,2017-03-24,233.8800048828125,0,0,0
SPY,2017-03-31,2017-03-24,234.2460000038147,0.11580314561159097,0.11949656731824593,0.11766434917676513
SPY,2017-03-31,2017-03-27,233.68800000846386,0.11580314561159097,0.11949656731824593,0.11766434917676513
SPY,2017-03-31,2017-03-28,235.19000001549722,0.11580314561159097,0.11949656731824593,0.11766434917676513
SPY,2017-03-31,2017-03-29,235.60199999772013,0.11580314561159097,0.11949656731824593,0.11766434917676513
SPY,2017-03-31,2017-03-30,236.22699999976902,0.11580314561159097,0.11949656731824593,0.11766434917676513
SPY,2017-03-31,2017-03-31,235.67999267578125,0,0,0
SPY,2017-04-07,2017-03-31,235.91700001060963,0.08029749786303816,0.08204600230035647,0.08117645796822721
SPY,2017-04-07,2017-04-03,235.5339999884367,0.08029749786303816,0.08204600230035647,0.08117645796822721
SPY,2017-04-07,2017-04-04,235.6829999834299,0.08029749786303816,0.08204600230035647,0.08117645796822721
SPY,2017-04-07,2017-04-05,234.7160000026226,0.08029749786303816,0.08204600230035647,0.08117645796822721
SPY,2017-04-07,2017-04-06,235.26400000229478,0.08029749786303816,0.08204600230035647,0.08117645796822721
SPY,2017-04-07,2017-04-07,235.1699981689453,0,0,0
SPY,2017-04-13,2017-04-07,235.24700000286103,0.0896209886456825,0.09155347036262085,0.09059238251991401
SPY,2017-04-13,2017-04-10,235.26100001037122,0.0896209886456825,0.09155347036262085,0.09059238251991401
SPY,2017-04-13,2017-04-11,235.01099999696015,0.0896209886456825,0.09155347036262085,0.09059238251991401
SPY,2017-04-13,2017-04-12,234.30100000873207,0.0896209886456825,0.09155347036262085,0.09059238251991401
SPY,2017-04-13,2017-04-13,232.55999755859375,0,0,0
SPY,2017-04-21,2017-04-13,232.64099999666215,0.1216493753768203,0.12351206300760291,0.12258425722327602
SPY,2017-04-21,2017-04-17,234.4829999923706,0.1216493753768203,0.12351206300760291,0.12258425722327602
SPY,2017-04-21,2017-04-18,233.84399997889994,0.1216493753768203,0.12351206300760291,0.12258425722327602
SPY,2017-04-21,2017-04-19,233.46399999260902,0.1216493753768203,0.12351206300760291,0.12258425722327602
SPY,2017-04-21,2017-04-20,235.308000010252,0.1216493753768203,0.12351206300760291,0.12258425722327602
SPY,2017-04-21,2017-04-21,234.58999633789062,0,0,0
SPY,2017-04-28,2017-04-21,234.63100003004075,0.15691413102874796,0.1593202117382512,0.15812174800581397
SPY,2017-04-28,2017-04-24,237.06699999570847,0.15691413102874796,0.1593202117382512,0.15812174800581397
SPY,2017-04-28,2017-04-25,238.50000001192092,0.15691413102874796,0.1593202117382512,0.15812174800581397
SPY,2017-04-28,2017-04-26,238.36400000303985,0.15691413102874796,0.1593202117382512,0.15812174800581397
SPY,2017-04-28,2017-04-27,238.6799999959767,0.15691413102874796,0.1593202117382512,0.15812174800581397
SPY,2017-04-28,2017-04-28,238.1199951171875,0,0,0
SPY,2017-05-05,2017-04-28,238.31599999070167,0.06926309612303096,0.07074097817876948,0.07000593717049064
SPY,2017-05-05,2017-05-01,238.6870000064373,0.06926309612303096,0.07074097817876948,0.07000593717049064
SPY,2017-05-05,2017-05-02,238.82900000959634,0.06926309612303096,0.07074097817876948,0.07000593717049064
SPY,2017-05-05,2017-05-03,238.58299999684095,0.06926309612303096,0.07074097817876948,0.07000593717049064
SPY,2017-05-05,2017-05-04,238.62100000083447,0.06926309612303096,0.07074097817876948,0.07000593717049064
SPY,2017-05-05,2017-05-05,239.67999267578125,0,0,0
SPY,2017-05-12,2017-05-05,239.7620000243187,0.10201285680554906,0.10363709241835321,0.10282818163947018
SPY,2017-05-12,2017-05-08,239.63099999129773,0.10201285680554906,0.10363709241835321,0.10282818163947018
SPY,2017-05-12,2017-05-09,239.4679999947548,0.10201285680554906,0.10363709241835321,0.10282818163947018
SPY,2017-05-12,2017-05-10,239.8419999912381,0.10201285680554906,0.10363709241835321,0.10282818163947018
SPY,2017-05-12,2017-05-11,239.41199999731035,0.10201285680554906,0.10363709241835321,0.10282818163947018
SPY,2017-05-12,2017-05-12,239.0500030517578,0,0,0
SPY,2017-05-19,2017-05-12,239.18900000452996,0.07360058575730527,0.07509793394372616,0.07435302921345809
SPY,2017-05-19,2017-05-15,240.15799999833106,0.07360058575730527,0.07509793394372616,0.07435302921345809
SPY,2017-05-19,2017-05-16,240.0670000091195,0.07360058575730527,0.07509793394372616,0.07435302921345809
SPY,2017-05-19,2017-05-17,236.23000000715257,0.07360058575730527,0.07509793394372616,0.07435302921345809
SPY,2017-05-19,2017-05-18,236.68100000917912,0.07360058575730527,0.07509793394372616,0.07435302921345809
SPY,2017-05-19,2017-05-19,238.27000427246094,0,0,0
SPY,2017-05-26,2017-05-19,238.47399998903273,0.09279109036615407,0.0943851236793604,0.09359150074474692
SPY,2017-05-26,2017-05-22,239.6189999938011,0.09279109036615407,0.0943851236793604,0.09359150074474692
SPY,2017-05-26,2017-05-23,240.08499999195337,0.09279109036615407,0.0943851236793604,0.09359150074474692
SPY,2017-05-26,2017-05-24,240.51699999645354,0.09279109036615407,0.0943851236793604,0.09359150074474692
SPY,2017-05-26,2017-05-25,241.67099999301135,0.09279109036615407,0.0943851236793604,0.09359150074474692
SPY,2017-05-26,2017-05-26,241.72999572753906,0,0,0
SPY,2017-06-02,2017-05-26,241.72100001573563,0.06849659111216887,0.06999079429253859,0.06924772299392992
SPY,2017-06-02,2017-05-30,241.4420000001788,0.06849659111216887,0.06999079429253859,0.06924772299392992
SPY,2017-06-02,2017-05-31,241.6140000164509,0.06849659111216887,0.06999079429253859,0.06924772299392992
SPY,2017-06-02,2017-06-01,243.2870000058785,0.06849659111216887,0.06999079429253859,0.06924772299392992
SPY,2017-06-02,2017-06-02,244.13999938964844,0,0,0
SPY,2017-06-09,2017-06-02,244.21100000739096,0.06773313775867804,0.06947187700653118,0.06860801573229856
SPY,2017-06-09,2017-06-05,243.93499999642373,0.06773313775867804,0.06947187700653118,0.06860801573229856
SPY,2017-06-09,2017-06-06,243.47700000703335,0.06773313775867804,0.06947187700653118,0.06860801573229856
SPY,2017-06-09,2017-06-07,243.6230000078678,0.06773313775867804,0.06947187700653118,0.06860801573229856
SPY,2017-06-09,2017-06-08,243.70000000298023,0.06773313775867804,0.06947187700653118,0.06860801573229856
SPY,2017-06-09,2017-06-09,243.5207977294922,0,0,0
SPY,2017-06-16,2017-06-09,242.90899999141692,0.10080479222113699,0.10247979723331826,0.10164574505538496
SPY,2017-06-16,2017-06-12,242.7820000052452,0.10080479222113699,0.10247979723331826,0.10164574505538496
SPY,2017-06-16,2017-06-13,243.83700001835822,0.10080479222113699,0.10247979723331826,0.10164574505538496
SPY,2017-06-16,2017-06-14,243.63999999165534,0.10080479222113699,0.10247979723331826,0.10164574505538496
